PanID	UWB-ID	sticker	ArUco
7000	0xCF18	blue	100
7000	0xC916	blue	101
7000	0xC7A8	blue	102
7000	0xCB3B	blue	103
7000	0x9605	blue	104
7000	0xCBB9	blue	105
7001	0x4d93	yellow	124
7001	0x852D	yellow	125
7001	0x0483	yellow	122
7001	0x9426	yellow	123
7001	0x0b38	yellow	120
7001	0x139B	yellow	121
7002	0x95B3	red		144
7002	0x9b34	red		145
7002	0x8d2c	red		142
7002	0x8a02	red		143
7002	0x8ca9	red		140
7002	0x5636	red		141
7002	0x0631	red		146
7003	0x9718	no		164
7003	0x9bb6	no		165
7003	0x8804	no		162
7003	0x5821	no		163
7003	0x8c1b	no		160
7003	0x949d	no		161
